ts_code,name,pct_change,turnover_rate,net_amount,amount_rate,reason
000952.SZ,广济药业,3.09%,32.25%,40M,27.35%,日振幅值达到15%的前5只证券
000070.SZ,特发信息,1.28%,33.50%,16M,16.91%,日换手率达到20%的前5只证券
000510.SZ,新金路,-1.90%,34.43%,-102M,31.82%,日换手率达到20%的前5只证券
300437.SZ,清水源,6.40%,39.32%,56M,21.27%,日换手率达到30%的前5只证券
300123.SZ,亚光科技,4.14%,32.10%,23M,23.74%,日换手率达到30%的前5只证券
000063.SZ,中兴通讯,10.00%,8.13%,"1,537M",23.96%,日涨幅偏离值达到7%的前5只证券
000547.SZ,航天发展,9.99%,8.98%,258M,26.36%,日涨幅偏离值达到7%的前5只证券
300223.SZ,北京君正,20.00%,16.86%,441M,21.83%,日涨幅达到15%的前5只证券
300638.SZ,广和通,20.01%,27.35%,221M,17.11%,日涨幅达到15%的前5只证券
300903.SZ,科翔股份,20.00%,12.33%,102M,37.25%,日涨幅达到15%的前5只证券
000567.SZ,海德股份,-9.97%,1.54%,10M,26.03%,日跌幅偏离值达到7%的前5只证券
000695.SZ,滨海能源,-9.92%,23.44%,14M,27.76%,日跌幅偏离值达到7%的前5只证券
600734.SH,实达集团,10.04%,29.32%,330M,25.42%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600678.SH,四川金顶,0.54%,39.19%,41M,18.15%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600343.SH,航天动力,-3.15%,23.10%,-127M,19.49%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600203.SH,福日电子,3.70%,23.81%,45M,15.23%,有价格涨跌幅限制的日换手率达到20%的前五只证券
688523.SH,航天环宇,10.09%,39.43%,-37M,23.85%,有价格涨跌幅限制的日换手率达到30%的前五只证券
688727.SH,恒坤新材,5.47%,33.76%,-45M,24.24%,有价格涨跌幅限制的日换手率达到30%的前五只证券
600868.SH,梅雁吉祥,10.06%,10.30%,81M,33.68%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600981.SH,苏豪汇鸿,10.06%,7.25%,17M,30.11%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
688260.SH,昀冢科技,20.00%,19.92%,-37M,29.77%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688719.SH,爱科赛博,-17.28%,15.06%,-92M,42.90%,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券
000004.SZ,*ST国华,5.01%,7.34%,12M,32.39%,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
300102.SZ,乾照光电,10.12%,28.54%,-13M,15.00%,连续三个交易日内，涨幅偏离值累计达到30%的证券
000609.SZ,ST中迪,-5.00%,7.69%,-75M,25.55%,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000892.SZ,欢瑞世纪,-3.36%,19.01%,-68M,18.37%,连续三个交易日内，跌幅偏离值累计达到20%的证券
